КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ШиринаЕд,ВысотаЕд,ВсегоТовара,НаВитрине,Транзит,НаСкладе,СредняяЦена,РазницаЦен
GF18250,0.012794092,69999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,42439.979999999996
GF18250,1.0732556e-06,124999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,97439.98
GF18250,0.018996622,10999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-16560.02
GF18250,0.03733554,5999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-21560.02
GF18250,0.026943538,11999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-15560.02
GF18250,0.0035764454,13999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-13560.02
GF18250,0.0075474908,5999.0,0.209999993443489,0.1299999952316284,0.0350000001490116,0.0,0.0,0.0,0.0,27559.02,-21560.02
GF18250,0.018459996,15999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-11560.02
GF18250,0.011188845,24999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-2560.0200000000004
GF18250,0.023512237,10999.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27559.02,-16560.02
GF18250,1.0732556e-06,124999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,97439.98
GF18250,1.0732556e-06,22999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-4560.02
GF18250,1.0732556e-06,4999.0,0.210999995470047,0.1309999972581863,0.0350000001490116,0.0,0.0,0.0,0.0,27559.02,-22560.02
GF18250,0.018340198,11999.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,27559.02,-15560.02
GF18250,0.0055619683,36799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,9239.98
GF18250,0.024570057,9499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-18060.02
GF18375,0.025577003,699.0,0.1199999973177909,0.0799999982118606,0.0399999991059303,1.0,1.0,0.0,0.0,461.38,237.62
GF18375,0.026556924,399.0,0.1199999973177909,0.0799999982118606,0.0199999995529651,3.0,3.0,0.0,0.0,461.38,-62.379999999999995
GF18375,0.007992949,95.0,0.1199999973177909,0.0900000035762786,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-366.38
GF18375,1.0426945e-06,250.0,0.0900000035762786,0.0450000017881393,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-211.38
GF18375,0.0098087685,110.0,0.1199999973177909,0.0850000008940696,0.0099999997764825,0.0,0.0,0.0,0.0,461.38,-351.38
GF18375,0.028397337,299.0,0.0900000035762786,0.0430000014603138,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-162.38
GF18375,0.013056068,299.0,0.0900000035762786,0.0430000014603138,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-162.38
GF18375,1.0426945e-06,250.0,0.1800000071525573,0.0599999986588954,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-211.38
GF18375,1.0426945e-06,299.0,0.1840000003576278,0.0549999997019767,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-162.38
GF18375,0.011260462,299.0,0.1850000023841858,0.0599999986588954,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-162.38
GF18375,1.0426945e-06,299.0,0.1850000023841858,0.0900000035762786,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-162.38
GF18375,0.009696801,750.0,0.0939999967813491,0.0630000010132789,0.0430000014603138,0.0,0.0,0.0,0.0,461.38,288.62
GF18375,0.010770911,550.0,0.2179999947547912,0.0529999993741512,0.0149999996647238,0.0,0.0,0.0,0.0,461.38,88.62
GF18375,1.0426945e-06,150.0,0.0900000035762786,0.0450000017881393,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-311.38
GF18375,1.0426945e-06,350.0,0.1199999973177909,0.0850000008940696,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-111.38
GF18375,0.021643935,199.0,0.0900000035762786,0.0450000017881393,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-262.38
GF18375,1.0426945e-06,550.0,0.1199999973177909,0.0850000008940696,0.006000000052154,0.0,0.0,0.0,0.0,461.38,88.62
GF18375,0.014492411,199.0,0.0900000035762786,0.0450000017881393,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-262.38
GF18375,0.19250467,399.0,0.1199999973177909,0.0850000008940696,0.0049999998882412,0.0,0.0,0.0,0.0,461.38,-62.379999999999995
GF18375,0.020105755,210.0,0.1199999973177909,0.0850000008940696,0.0199999995529651,0.0,0.0,0.0,0.0,461.38,-251.38
GF18375,1.0426945e-06,599.0,0.0799999982118606,0.0299999993294477,0.1199999973177909,0.0,0.0,0.0,0.0,461.38,137.62
GF18375,0.018351424,350.0,0.0900000035762786,0.0700000002980232,0.0099999997764825,0.0,0.0,0.0,0.0,461.38,-111.38
GF18375,1.0426945e-06,750.0,0.1199999973177909,0.0230000000447034,0.0850000008940696,0.0,0.0,0.0,0.0,461.38,288.62
GF18375,0.01577011,250.0,0.1899999976158142,0.0599999986588954,0.0040000001899898,0.0,0.0,0.0,0.0,461.38,-211.38
GF18375,0.035002805,999.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,461.38,537.62
GF18375,0.047991782,399.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,461.38,-62.379999999999995
GF18375,0.012303797,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.38,-81.38
GF18375,0.012511292,1499.0,0.0399999991059303,0.0399999991059303,0.0099999997764825,0.0,0.0,0.0,0.0,461.38,1037.62
GF18375,1.0426945e-06,1499.0,0.1199999973177909,0.0799999982118606,0.0149999996647238,0.0,0.0,0.0,0.0,461.38,1037.62
GF18435,1.0387155e-06,27199.0,0.4250000119209289,0.3100000023841858,0.1449999958276748,0.0,0.0,0.0,0.0,9909.2,17289.8
GF18435,0.010593937,899.0,0.1650000065565109,0.050000000745058,0.1650000065565109,0.0,0.0,0.0,0.0,9909.2,-9010.2
GF18435,0.0031151078,850.0,0.1299999952316284,0.0680000036954879,0.1369999945163726,0.0,0.0,0.0,0.0,9909.2,-9059.2
GF18435,0.0026909658,10599.0,0.3100000023841858,0.1199999973177909,0.1700000017881393,0.0,0.0,0.0,0.0,9909.2,689.7999999999993
GF18435,0.018316265,9999.0,0.2800000011920929,0.2599999904632568,0.1000000014901161,0.0,0.0,0.0,0.0,9909.2,89.79999999999927
FE03541,0.019875549,26599.0,0.5099999904632568,0.1500000059604644,0.3000000119209289,0.0,0.0,0.0,0.0,26599.0,0.0
GF18413,1.4869877e-06,19499.0,0.5849999785423279,0.395000010728836,0.2000000029802322,0.0,0.0,0.0,0.0,27249.0,-7750.0
GF18413,0.011250053,34999.0,0.7549999952316284,0.5099999904632568,0.2899999916553497,0.0,0.0,0.0,0.0,27249.0,7750.0
GF18259,0.019357754,950.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,843.38,106.62
GF18259,0.012919962,999.0,0.1899999976158142,0.1099999994039535,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,155.62
GF18259,0.0055796294,850.0,0.2399999946355819,0.1599999964237213,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,6.6200000000000045
GF18259,1.0766635e-06,699.0,0.2000000029802322,0.1199999973177909,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,-144.38
GF18259,1.0766635e-06,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-344.38
GF18259,1.0766635e-06,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-593.38
GF18259,1.0766635e-06,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-744.38
GF18259,1.0766635e-06,960.0,0.2000000029802322,0.1000000014901161,0.0149999996647238,0.0,0.0,0.0,0.0,843.38,116.62
GF18259,1.0766635e-06,350.0,0.1800000071525573,0.0900000035762786,0.0099999997764825,0.0,0.0,0.0,0.0,843.38,-493.38
GF18259,1.0766635e-06,999.0,0.1800000071525573,0.1049999967217445,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,155.62
GF18259,1.0766635e-06,799.0,0.0900000035762786,0.1800000071525573,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,-44.379999999999995
GF18259,0.008733356,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,155.62
GF18259,1.0766635e-06,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-244.38
GF18259,0.0055796294,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-444.38
GF18259,0.0055796294,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,6.6200000000000045
GF18259,1.0766635e-06,2499.0,0.2000000029802322,0.1099999994039535,0.0149999996647238,0.0,0.0,0.0,0.0,843.38,1655.62
GF18259,1.0766635e-06,199.0,0.1749999970197677,0.0900000035762786,0.0099999997764825,0.0,0.0,0.0,0.0,843.38,-644.38
GF18259,1.0766635e-06,3999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,3155.62
GF18259,0.0035878017,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-644.38
GF18259,0.0068907863,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-144.38
GF18259,0.0068907863,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-44.379999999999995
GF18259,0.010120314,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-644.38
GF18259,0.024435595,699.0,0.2000000029802322,0.1000000014901161,0.0099999997764825,1.0,1.0,0.0,0.0,843.38,-144.38
GF18259,1.0766635e-06,299.0,0.1899999976158142,0.0199999995529651,0.1899999976158142,0.0,0.0,0.0,0.0,843.38,-544.38
GF18259,0.0035878017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-843.38
GF18259,0.0035878017,99.0,0.3899999856948852,0.2349999994039535,0.2249999940395355,0.0,0.0,0.0,0.0,843.38,-744.38
GF18259,1.0766635e-06,860.0,0.1800000071525573,0.1000000014901161,0.0149999996647238,0.0,0.0,0.0,0.0,843.38,16.620000000000005
GF18259,1.0766635e-06,199.0,0.2000000029802322,0.1000000014901161,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,-644.38
GF18259,1.0766635e-06,5999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,5155.62
GF18259,1.0766635e-06,1550.0,0.2199999988079071,0.1299999952316284,0.0299999993294477,0.0,0.0,0.0,0.0,843.38,706.62
GF18259,1.0766635e-06,699.0,0.1599999964237213,0.0599999986588954,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,-144.38
GF18259,1.0766635e-06,250.0,0.209999993443489,0.1000000014901161,0.0099999997764825,0.0,0.0,0.0,0.0,843.38,-593.38
GF18259,0.0055796294,299.0,0.1000000014901161,0.0149999996647238,0.2000000029802322,0.0,0.0,0.0,0.0,843.38,-544.38
GF18259,0.004265864,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-144.38
GF18259,0.0068907863,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-444.38
GF18259,0.0068907863,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-444.38
GF18259,0.008733356,999.0,0.1800000071525573,0.1049999967217445,0.0199999995529651,0.0,0.0,0.0,0.0,843.38,155.62
GF18259,0.0055796294,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-593.38
GF18259,1.0766635e-06,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.38,-544.38
GF18240,8.075893e-07,6999.0,0.1800000071525573,0.0799999982118606,0.0799999982118606,0.0,0.0,0.0,0.0,10624.25,-3625.25
GF18240,0.0041851974,0.0,0.1299999952316284,0.1099999994039535,0.0599999986588954,0.0,0.0,0.0,0.0,10624.25,-10624.25
GF18240,0.0026911567,29999.0,0.3000000119209289,0.1000000014901161,0.0799999982118606,0.0,0.0,0.0,0.0,10624.25,19374.75
GF18240,0.0013451746,5499.0,0.2300000041723251,0.0599999986588954,0.1199999973177909,0.0,0.0,0.0,0.0,10624.25,-5125.25
FE94230,0.009757995,37299.0,0.4550000131130218,0.2649999856948852,0.5149999856948853,0.0,0.0,0.0,0.0,71584.71,-34285.71000000001
FE94230,0.00366085,89999.0,0.25,0.4799999892711639,0.4300000071525574,0.0,0.0,0.0,0.0,71584.71,18414.289999999994
FE94230,0.0077256127,45799.0,0.4600000083446502,0.2599999904632568,0.5049999952316284,0.0,0.0,0.0,0.0,71584.71,-25785.710000000006
FE94230,0.019443847,81999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71584.71,10414.289999999994
FE94230,0.0077256127,81999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71584.71,10414.289999999994
FE94230,0.012402723,81999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71584.71,10414.289999999994
FE94230,1.0985846e-06,81999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71584.71,10414.289999999994
GF27459,1.0187396e-06,3850.0,0.1000000014901161,0.0799999982118606,0.0299999993294477,0.0,0.0,0.0,0.0,2349.67,1500.33
GF27459,0.00339478,3199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.67,849.3299999999999
GF27459,1.0187396e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.67,-2349.67
MA10206,1.3460233e-06,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.91,344.09000000000003
MA10206,1.3460233e-06,650.0,0.1500000059604644,0.0949999988079071,0.0199999995529651,0.0,0.0,0.0,0.0,225.91,424.09000000000003
MA10206,0.0069755423,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.91,24.090000000000003
MA10206,0.033943366,350.0,0.1700000017881393,0.1000000014901161,0.0149999996647238,0.0,0.0,0.0,0.0,225.91,124.09
MA10206,0.012864506,120.0,0.1199999973177909,0.050000000745058,0.0099999997764825,0.0,0.0,0.0,0.0,225.91,-105.91
MA10206,1.3460233e-06,160.0,0.2199999988079071,0.0099999997764825,0.050000000745058,0.0,0.0,0.0,0.0,225.91,-65.91
MA10206,1.3460233e-06,0.0,0.0799999982118606,0.050000000745058,0.0049999998882412,0.0,0.0,0.0,0.0,225.91,-225.91
MA10206,0.0044853985,130.0,0.1199999973177909,0.0599999986588954,0.0049999998882412,0.0,0.0,0.0,0.0,225.91,-95.91
MA10206,1.3460233e-06,85.0,0.1199999973177909,0.050000000745058,0.0099999997764825,0.0,0.0,0.0,0.0,225.91,-140.91
MA10206,1.3460233e-06,85.0,0.1199999973177909,0.050000000745058,0.0099999997764825,0.0,0.0,0.0,0.0,225.91,-140.91
MA10206,1.3460233e-06,85.0,0.1199999973177909,0.0099999997764825,0.050000000745058,0.0,0.0,0.0,0.0,225.91,-140.91
MA10213,0.0055720797,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.0,0.0
